faculty_id,name,program_code,appointment,fte,effort,base_salary,benefits,total_compensation,attributed_cost
NURS-01,Nursing Faculty 1,NURS,Full-time,1.0,1.0,124000.0,48222.22,172222.22,172222.22
NURS-02,Nursing Faculty 2,NURS,Full-time,1.0,1.0,124000.0,48222.22,172222.22,172222.22
NURS-03,Nursing Faculty 3,NURS,Full-time,1.0,1.0,124000.0,48222.22,172222.22,172222.22
NURS-04,Nursing Faculty 4,NURS,Full-time,1.0,1.0,124000.0,48222.22,172222.22,172222.22
NURS-05,Nursing Faculty 5,NURS,Adjunct,0.5,1.0,74400.0,28933.33,103333.33,103333.33
NURS-06,Nursing Faculty 6,NURS,Full-time,1.0,1.0,124000.0,48222.22,172222.22,172222.22
NURS-07,Nursing Faculty 7,NURS,Full-time,1.0,1.0,124000.0,48222.22,172222.22,172222.22
NURS-08,Nursing Faculty 8,NURS,Full-time,1.0,1.0,124000.0,48222.22,172222.22,172222.22
NURS-09,Nursing Faculty 9,NURS,Full-time,1.0,1.0,124000.0,48222.22,172222.22,172222.22
NURS-10,Nursing Faculty 10,NURS,Adjunct,0.5,1.0,74400.0,28933.33,103333.33,103333.33
NURS-11,Nursing Faculty 11,NURS,Full-time,1.0,1.0,124000.0,48222.22,172222.22,172222.22
NURS-12,Nursing Faculty 12,NURS,Full-time,1.0,1.0,124000.0,48222.22,172222.22,172222.22
NURS-13,Nursing Faculty 13,NURS,Full-time,1.0,1.0,124000.0,48222.22,172222.22,172222.22
NURS-14,Nursing Faculty 14,NURS,Full-time,1.0,1.0,124000.0,48222.22,172222.22,172222.22
NURS-15,Nursing Faculty 15,NURS,Adjunct,0.5,1.0,74400.0,28933.33,103333.33,103333.33
NURS-16,Nursing Faculty 16,NURS,Full-time,1.0,1.0,124000.0,48222.22,172222.22,172222.22
NURS-17,Nursing Faculty 17,NURS,Full-time,1.0,1.0,124000.0,48222.22,172222.22,172222.22
NURS-18,Nursing Faculty 18,NURS,Full-time,1.0,1.0,124000.0,48222.22,172222.22,172222.22
BIOL-01,Biology Faculty 1,BIOL,Full-time,1.0,1.0,99000.0,38500.0,137500.0,137500.0
BIOL-02,Biology Faculty 2,BIOL,Full-time,1.0,1.0,99000.0,38500.0,137500.0,137500.0
BIOL-03,Biology Faculty 3,BIOL,Full-time,1.0,1.0,99000.0,38500.0,137500.0,137500.0
BIOL-04,Biology Faculty 4,BIOL,Full-time,1.0,1.0,99000.0,38500.0,137500.0,137500.0
BIOL-05,Biology Faculty 5,BIOL,Adjunct,0.5,1.0,59400.0,23100.0,82500.0,82500.0
BIOL-06,Biology Faculty 6,BIOL,Full-time,1.0,1.0,99000.0,38500.0,137500.0,137500.0
BIOL-07,Biology Faculty 7,BIOL,Full-time,1.0,1.0,99000.0,38500.0,137500.0,137500.0
BIOL-08,Biology Faculty 8,BIOL,Full-time,1.0,1.0,99000.0,38500.0,137500.0,137500.0
BIOL-09,Biology Faculty 9,BIOL,Full-time,1.0,1.0,99000.0,38500.0,137500.0,137500.0
BIOL-10,Biology Faculty 10,BIOL,Adjunct,0.5,1.0,59400.0,23100.0,82500.0,82500.0
BIOL-11,Biology Faculty 11,BIOL,Full-time,1.0,1.0,99000.0,38500.0,137500.0,137500.0
BIOL-12,Biology Faculty 12,BIOL,Full-time,1.0,1.0,99000.0,38500.0,137500.0,137500.0
CSCI-01,Computer Science Faculty 1,CSCI,Full-time,1.0,1.0,96872.73,37672.73,134545.46,134545.46
CSCI-02,Computer Science Faculty 2,CSCI,Full-time,1.0,1.0,96872.73,37672.73,134545.46,134545.46
CSCI-03,Computer Science Faculty 3,CSCI,Full-time,1.0,1.0,96872.73,37672.73,134545.46,134545.46
CSCI-04,Computer Science Faculty 4,CSCI,Full-time,1.0,1.0,96872.73,37672.73,134545.46,134545.46
CSCI-05,Computer Science Faculty 5,CSCI,Adjunct,0.5,1.0,58123.64,22603.64,80727.28,80727.28
CSCI-06,Computer Science Faculty 6,CSCI,Full-time,1.0,1.0,96872.73,37672.73,134545.46,134545.46
CSCI-07,Computer Science Faculty 7,CSCI,Full-time,1.0,1.0,96872.73,37672.73,134545.46,134545.46
CSCI-08,Computer Science Faculty 8,CSCI,Full-time,1.0,1.0,96872.73,37672.73,134545.46,134545.46
CSCI-09,Computer Science Faculty 9,CSCI,Full-time,1.0,1.0,96872.73,37672.73,134545.46,134545.46
CSCI-10,Computer Science Faculty 10,CSCI,Adjunct,0.5,1.0,58123.64,22603.64,80727.28,80727.28
CSCI-11,Computer Science Faculty 11,CSCI,Full-time,1.0,1.0,96872.73,37672.73,134545.46,134545.46
BUSN-01,Business Administration Faculty 1,BUSN,Full-time,1.0,1.0,92250.0,35875.0,128125.0,128125.0
BUSN-02,Business Administration Faculty 2,BUSN,Full-time,1.0,1.0,92250.0,35875.0,128125.0,128125.0
BUSN-03,Business Administration Faculty 3,BUSN,Full-time,1.0,1.0,92250.0,35875.0,128125.0,128125.0
BUSN-04,Business Administration Faculty 4,BUSN,Full-time,1.0,1.0,92250.0,35875.0,128125.0,128125.0
BUSN-05,Business Administration Faculty 5,BUSN,Adjunct,0.5,1.0,55350.0,21525.0,76875.0,76875.0
BUSN-06,Business Administration Faculty 6,BUSN,Full-time,1.0,1.0,92250.0,35875.0,128125.0,128125.0
